team_id,name,district,region,classification,association,city,lat,lon
boys-ranch,Boys Ranch,1-1A DI,panhandle,1A DI,UIL,Boys Ranch,,
booker,Booker,1-1A DI,panhandle,1A DI,UIL,Booker,,
claude,Claude,1-1A DI,panhandle,1A DI,UIL,Claude,,
white-deer,White Deer,1-1A DI,panhandle,1A DI,UIL,White Deer,,
wildorado,Wildorado,1-1A DI,panhandle,1A DI,UIL,Wildorado,,
springlake-earth,Springlake-Earth,2-1A DI,panhandle,1A DI,UIL,Earth,,
nazareth,Nazareth,2-1A DI,panhandle,1A DI,UIL,Nazareth,,
whiteface,Whiteface,2-1A DI,panhandle,1A DI,UIL,Whiteface,,
whitharral,Whitharral,2-1A DI,panhandle,1A DI,UIL,Whitharral,,
happy,Happy,3-1A DI,panhandle,1A DI,UIL,Happy,,
kress,Kress,3-1A DI,panhandle,1A DI,UIL,Kress,,
petersburg,Petersburg,3-1A DI,panhandle,1A DI,UIL,Petersburg,,
silverton,Silverton,3-1A DI,panhandle,1A DI,UIL,Silverton,,
aspermont,Aspermont,4-1A DI,panhandle,1A DI,UIL,Aspermont,,
hermleigh,Hermleigh,4-1A DI,panhandle,1A DI,UIL,Hermleigh,,
jayton,Jayton,4-1A DI,panhandle,1A DI,UIL,Jayton,,
roby,Roby,4-1A DI,panhandle,1A DI,UIL,Roby,,
rotan,Rotan,4-1A DI,panhandle,1A DI,UIL,Rotan,,
spur,Spur,4-1A DI,panhandle,1A DI,UIL,Spur,,
sands,Sands,5-1A DI,west-texas,1A DI,UIL,Ackerly,,
borden-county,Borden County,5-1A DI,west-texas,1A DI,UIL,Gail,,
ira,Ira,5-1A DI,west-texas,1A DI,UIL,Ira,,
klondike,Klondike,5-1A DI,west-texas,1A DI,UIL,Lamesa,,
odonnell,O'Donnell,5-1A DI,west-texas,1A DI,UIL,O'Donnell,,
westbrook,Westbrook,5-1A DI,west-texas,1A DI,UIL,Westbrook,,
fort-hancock,Fort Hancock,6-1A DI,west-texas,1A DI,UIL,Fort Hancock,,
garden-city,Garden City,6-1A DI,west-texas,1A DI,UIL,Garden City,,
buena-vista,Buena Vista,6-1A DI,west-texas,1A DI,UIL,Imperial,,
grady,Grady,6-1A DI,west-texas,1A DI,UIL,Lenorah,,
rankin,Rankin,6-1A DI,west-texas,1A DI,UIL,Rankin,,
baird,Baird,7-1A DI,west-texas,1A DI,UIL,Baird,,
bronte,Bronte,7-1A DI,west-texas,1A DI,UIL,Bronte,,
paint-rock,Paint Rock,7-1A DI,west-texas,1A DI,UIL,Paint Rock,,
robert-lee,Robert Lee,7-1A DI,west-texas,1A DI,UIL,Robert Lee,,
